2018-12-29 11:11:11,053 |  Habitos - ERP |INFO | browser gets open
2018-12-29 11:11:13,605 |  Habitos - ERP |INFO | browser gets valid ip address
2018-12-29 11:11:13,606 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-29 11:11:13,733 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-29 11:11:13,750 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-29 11:11:13,887 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-29 11:11:13,897 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-29 11:11:16,165 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-29 11:11:16,272 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-29 11:11:16,285 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-29 11:11:16,513 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-29 11:11:16,525 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-29 11:11:16,635 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-29 11:11:22,261 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-29 11:11:22,471 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2018-12-29 11:11:22,477 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2018-12-29 11:11:22,480 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2018-12-29 11:11:22,484 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2018-12-29 11:11:22,487 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2018-12-29 11:11:22,490 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2018-12-29 11:11:22,494 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2018-12-29 11:11:22,497 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2018-12-29 11:11:22,499 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2018-12-29 11:11:22,504 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2018-12-29 11:35:11,806 |  Habitos - ERP |INFO | browser gets valid ip address
2018-12-29 11:35:11,811 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-29 11:35:11,927 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-29 11:35:11,941 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-29 11:35:12,072 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-29 11:35:12,085 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-29 11:35:12,516 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-29 11:35:12,603 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-29 11:35:12,612 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-29 11:35:12,742 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-29 11:35:12,756 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-29 11:35:12,838 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-29 11:35:16,161 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-29 12:17:52,417 | com.altius.automation.TestAutomation |INFO | Browser is lauched 
2018-12-29 12:18:34,252 | com.altius.automation.TestAutomation |INFO | Browser is lauched 
2018-12-29 12:22:55,708 | com.altius.automation.TestAutomation |INFO | Browser is lauched 
2018-12-29 12:27:23,574 | com.altius.automation.TestAutomation |INFO | Browser is lauched 
2018-12-29 15:33:41,911 |  BramHope Website Portal |INFO | browser gets open
2018-12-29 15:33:47,732 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-29 15:33:56,607 |  BramHope Website Portal |INFO | brower gets opened
2018-12-29 15:33:56,607 |  BramHope Website Portal |ERROR | message is not correct
2018-12-29 15:33:56,608 |  BramHope Website Portal |FATAL | yah it gets error
2018-12-29 15:33:58,017 |  BramHope Website Portal |INFO | Driver gets closed
2018-12-29 15:34:08,910 |  BramHope Website Portal |INFO | browser gets open
2018-12-29 15:34:12,070 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-29 15:34:14,159 |  BramHope Website Portal |INFO | brower gets opened
2018-12-29 15:34:14,159 |  BramHope Website Portal |ERROR | message is not correct
2018-12-29 15:34:14,160 |  BramHope Website Portal |FATAL | yah it gets error
2018-12-29 15:34:15,621 |  BramHope Website Portal |INFO | Driver gets closed
2018-12-29 15:36:46,219 |  BramHope Website Portal |INFO | browser gets open
2018-12-29 15:36:51,860 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-29 15:40:29,317 |  BramHope Website Portal |INFO | browser gets open
2018-12-29 15:40:36,831 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-29 15:40:41,466 |  BramHope Website Portal |INFO | brower gets opened
2018-12-29 15:40:41,466 |  BramHope Website Portal |ERROR | message is not correct
2018-12-29 15:40:41,467 |  BramHope Website Portal |FATAL | yah it gets error
2018-12-29 15:40:42,976 |  BramHope Website Portal |INFO | Driver gets closed
2018-12-29 15:41:13,948 |  BramHope Website Portal |INFO | browser gets open
2018-12-29 15:41:21,485 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-29 15:41:24,284 |  BramHope Website Portal |INFO | brower gets opened
2018-12-29 15:41:24,285 |  BramHope Website Portal |ERROR | message is not correct
2018-12-29 15:41:24,285 |  BramHope Website Portal |FATAL | yah it gets error
2018-12-29 15:41:25,724 |  BramHope Website Portal |INFO | Driver gets closed
2019-01-03 11:04:04,993 |  BramHope Website Portal |INFO | browser gets open
2019-01-03 11:04:08,068 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-03 11:04:09,812 |  BramHope Website Portal |INFO | brower gets opened
2019-01-03 11:04:09,812 |  BramHope Website Portal |ERROR | message is not correct
2019-01-03 11:04:09,813 |  BramHope Website Portal |FATAL | yah it gets error
2019-01-03 11:04:11,345 |  BramHope Website Portal |INFO | Driver gets closed
2019-01-03 11:04:23,731 |  BramHope Website Portal |INFO | browser gets open
2019-01-03 11:04:27,263 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-03 11:04:28,849 |  BramHope Website Portal |INFO | brower gets opened
2019-01-03 11:04:28,850 |  BramHope Website Portal |ERROR | message is not correct
2019-01-03 11:04:28,851 |  BramHope Website Portal |FATAL | yah it gets error
2019-01-03 11:04:30,269 |  BramHope Website Portal |INFO | Driver gets closed
2019-01-03 11:04:42,035 |  BramHope Website Portal |INFO | browser gets open
2019-01-03 11:04:45,528 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-03 11:04:47,096 |  BramHope Website Portal |INFO | brower gets opened
2019-01-03 11:04:47,097 |  BramHope Website Portal |ERROR | message is not correct
2019-01-03 11:04:47,097 |  BramHope Website Portal |FATAL | yah it gets error
2019-01-03 11:04:48,517 |  BramHope Website Portal |INFO | Driver gets closed
2019-01-03 11:06:06,747 |  BramHope Website Portal |INFO | browser gets open
2019-01-03 11:06:09,732 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-03 11:06:11,361 |  BramHope Website Portal |INFO | brower gets opened
2019-01-03 11:06:11,362 |  BramHope Website Portal |ERROR | message is not correct
2019-01-03 11:06:11,362 |  BramHope Website Portal |FATAL | yah it gets error
2019-01-03 11:06:12,973 |  BramHope Website Portal |INFO | Driver gets closed
2019-01-03 12:08:17,639 |  BramHope Website Portal |INFO | browser gets open
